"group","always","often","sometimes","rarely"
"National average",0.0170801339441865,0.0333737788865706,0.136524725309063,0.813021361860178
"18-34",0.0174627324711917,0.0367798683818456,0.156330991438465,0.7894264077085
"35-44",0.0191369822406162,0.0351238951218498,0.143586634347639,0.802152488289894
"45-54",0.026179007702577,0.0541239050734486,0.15652389902106,0.763173188202916
"55-64",0.0182340477140221,0.0210878227625505,0.171006347385779,0.789671782137646
"65-74",0.00708786903111494,0.0226098851323875,0.0803256392511192,0.88997660658538
"75+",0.00615163534444991,0.0157269823193301,0.03764525861435,0.940476123721871
