"group","not_user","infrequent","frequent","constant_daily"
"National average",0.0206092781787123,0.00973198483314491,0.0227513700460221,0.946907366942118
"18-34",0.00600953599753145,0.000449688086221814,0.00125071138849628,0.992290064527751
"35-44",0.00402604702003456,0.0121952871511638,0.00866015158485853,0.975118514243943
"45-54",0.0113698805662816,0.00243473893487396,0.0224187804752468,0.963776600023598
"55-64",0.00227118873752031,0.00664164137560779,0.0153969170373426,0.975690252849529
"65-74",0.0203997071744679,0.0164334463551182,0.0692800204489608,0.893886826021454
"75+",0.142235367942136,0.0432492410706297,0.0712997719827704,0.743215619004463
