"group","no_connection","mobile_only","fixed_only","mobile_and_fixed"
"National average",0.018020587909437,0.0971207004930216,0.0277855107095622,0.857073200887976
"18-34",0.00226809098703485,0.086653328768509,0.00633297640147044,0.904745603842988
"35-44",0.00494488832762016,0.0871268067498973,0.0108936968912796,0.897034608031201
"45-54",0.0138061557789587,0.0815708257721907,0.0173934056363954,0.887229612812457
"55-64",0.0122896683800476,0.0949541147428048,0.00741437859392613,0.885341838283221
"65-74",0.0260434150457516,0.126968672159367,0.0529562163909888,0.794031696403895
"75+",0.0977278097209992,0.142379980690115,0.145632264991737,0.614259944597148
