"wave","National average","18-34","35-44","45-54","55-64","65-74","75+"
2020,69.4179417578096,74.0551588817268,72.9231236114122,70.7031367624847,67.9252621289025,62.8677907216677,53.8545768855307
2021,70.0175745669316,75.2789548461217,74.0989852730587,72.4075284756558,67.9100678553107,61.5856607910169,53.5082979902094
2022,71.9739804759022,76.9520644520026,77.1835981097251,74.1905844665297,70.0464343384578,66.151706202469,53.9765459673148
2024,76.8043481164591,79.8375799267201,80.7210615155227,78.4623384482763,77.1756845429063,73.141822108445,61.1121263382607
