Service Name,Physical Address,Physical Suburb,Physical State,Physical Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2023 LGA Name,2023 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude
Illawarra Diggers,8 Blundell Parade,CORRIMAL,NSW,2518,Illawarra,Residential,105,0,0,Illawarra Diggers Aged and Community Care Limited,Community Based,Major Cities of Australia,1,11145,Corrimal - Tarrawanna - Bellambi,10704,Wollongong,Wollongong,18450,PHN106,South Eastern NSW,-34.3668029999999,150.893972999999
Calvary St Paul's Retirement Community,54 River Street,CUNDLETOWN,NSW,2430,Mid North Coast,Residential,40,0,0,Calvary Aged Care Limited,Charitable,Inner Regional Australia,3,11169,Taree,10805,Taree - Gloucester,Mid-Coast,15240,PHN108,Hunter New England and Central Coast,-31.901758,152.518721999999
Southern Cross Care Orana Residential Aged Care,59 Napier Street,DENILIQUIN,NSW,2710,Riverina/Murray,Residential,50,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,4,11182,Deniliquin,10903,Upper Murray exc. Albury,Edward River,12730,PHN110,Murrumbidgee,-35.529691,144.960779
Merton Court Hostel,91 Virginia Street,DENMAN,NSW,2328,Hunter,Residential,17,0,0,Merton Living Limited,Community Based,Inner Regional Australia,5,11127,Muswellbrook Region,10604,Upper Hunter,Muswellbrook,15650,PHN108,Hunter New England and Central Coast,-32.389667,150.684524
Maybanke Aged Care Plus Centre,80 Wardell Road,DULWICH HILL,NSW,2203,Inner West,Residential,38,0,0,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,1,11394,Dulwich Hill - Lewisham,12003,Strathfield - Burwood - Ashfield,Inner West,14170,PHN101,Central and Eastern Sydney,-33.908484,151.14372
BaptistCare Cooinda Court,159 Balaclava Road,MACQUARIE PARK,NSW,2113,Northern Sydney,Residential,68,0,0,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,1,11500,Macquarie Park - Marsfield,12602,Ryde - Hunters Hill,Ryde,16700,PHN102,Northern Sydney,-33.777251,151.110489999999
Catholic Healthcare Jemalong Residential Village,240 Edward Street,FORBES,NSW,2871,Central West,Residential,130,0,0,Catholic Healthcare Limited,Charitable,Outer Regional Australia,4,11065,Forbes,10302,Lachlan Valley,Forbes,12900,PHN107,Western NSW,-33.358722,147.990465999999
Alexander Campbell House,51 Cook Street,FORESTVILLE,NSW,2087,Northern Sydney,Residential,36,0,0,The Churches of Christ Property Trust,Religious,Major Cities of Australia,1,11427,Forestville - Killarney Heights,12203,Warringah,Northern Beaches,15990,PHN102,Northern Sydney,-33.763896,151.218942999999
Harden Grange,78 Swift Street,HARDEN,NSW,2587,Southern Highlands,Residential,45,0,0,Apollo Care Operations Pty Ltd,Private Incorporated Body,Inner Regional Australia,5,11544,Young Region,10106,Young - Yass,Hilltops,13910,PHN110,Murrumbidgee,-34.555306,148.358555999999
Uniting Caroona Jarman Goonellabah,65-101 Rous Road,GOONELLABAH,NSW,2480,Far North Coast,Residential,80,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,3,11246,Goonellabah,11202,Richmond Valley - Hinterland,Lismore,14850,PHN109,North Coast,-28.82564,153.320303999999
Hunters Hill Village,8 D'aram Street,HUNTERS HILL,NSW,2110,Northern Sydney,Residential,36,0,0,Twilight House,Community Based,Major Cities of Australia,1,11499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,Hunters Hill,14100,PHN102,Northern Sydney,-33.8336869999999,151.152381999999
Gill Waminda Aged Care Plus Centre,4 Mary Street,GOULBURN,NSW,2580,Southern Highlands,Residential,103,0,0,The Salvation Army (NSW) Property Trust,Charitable,Inner Regional Australia,3,11539,Goulburn,10105,Goulburn - Mulwaree,Goulburn Mulwaree,13310,PHN106,South Eastern NSW,-34.762107,149.698250999999
Catholic Healthcare St Francis Aged Care,226 Arthur Street,GRAFTON,NSW,2460,Far North Coast,Residential,48,0,0,Catholic Healthcare Limited,Charitable,Inner Regional Australia,3,11080,Grafton,10401,Clarence Valley,Clarence Valley,11730,PHN109,North Coast,-29.6727549999999,152.937152999999
Southern Cross Care St Catherine's Residential Aged Care,126 North Street,GRAFTON,NSW,2460,Far North Coast,Residential,83,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,3,11080,Grafton,10401,Clarence Valley,Clarence Valley,11730,PHN109,North Coast,-29.670888,152.941198
The Pioneers Lodge,15-23 Sidlow Road,GRIFFITH,NSW,2680,Riverina/Murray,Residential,98,0,0,The Pioneers Lodge Limited,Private Incorporated Body,Outer Regional Australia,3,11256,Griffith (NSW),11301,Griffith - Murrumbidgee (West),Griffith,13450,PHN110,Murrumbidgee,-34.29702,146.040568
HammondCare Hammondville,8-10 Judd Avenue,HAMMONDVILLE,NSW,2170,South West Sydney,Residential,337,0,0,HammondCare,Charitable,Major Cities of Australia,1,11440,Ingleburn - Denham Court,12302,Campbelltown (NSW),Liverpool,14900,PHN105,South Western Sydney,-33.9716799999999,150.859780999999
